Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.124,54867.0,0.64,197867.0,0.647,0.0,5.0,2754251.0,0.0801,-8.114,0.186,1241240312.0,92.979,0.546,353454004.0
0.0956,28321.0,0.708,201707.0,0.648,0.0,6.0,1758555.0,0.134,-5.626,0.0449,843423744.0,143.955,0.338,243497172.0
0.274,525670.0,0.778,218289.0,0.632,0.0,2.0,9415668.0,0.0915,-5.6,0.0493,196761853.0,122.104,0.498,252068988.0
0.419,161071.0,0.873,158805.0,0.695,1.23e-06,0.0,3670104.0,0.211,-4.207,0.0459,220692224.0,131.963,0.823,189132077.0
0.234,155635.0,0.695,172235.0,0.636,0.0,5.0,3361051.0,0.081,-4.654,0.317,473003231.0,174.14,0.575,460717876.0
0.284,223326.0,0.778,218093.0,0.824,0.0,10.0,6540184.0,0.405,-5.892,0.0707,1164605089.0,100.024,0.758,1214508056.0
0.0062,1283529.0,0.758,202627.0,0.871,0.0,2.0,20327883.0,0.0663,-6.408,0.147,629918488.0,126.994,0.753,3463816330.0
0.176,57072.0,0.831,194438.0,0.868,0.0,11.0,1327396.0,0.184,-5.282,0.0325,162685755.0,131.971,0.483,144690551.0
0.35,20625.0,0.687,173133.0,0.361,1.11e-05,10.0,507258.0,0.11,-11.589,0.0792,138360843.0,165.747,0.526,151765834.0
0.187,404270.0,0.852,195840.0,0.773,3.05e-05,8.0,10370533.0,0.159,-2.921,0.0776,859799057.0,102.034,0.907,2805793003.0
0.269,25673.0,0.595,192867.0,0.461,0.000149,6.0,437988.0,0.123,-7.786,0.0641,220084336.0,91.976,0.338,135287306.0
0.5,245.0,0.839,254240.0,0.403,1.81e-06,0.0,4970.0,0.0786,-11.059,0.0308,229134152.0,97.967,0.575,359765.0
0.00473,33820.0,0.731,139461.0,0.675,0.0,5.0,1072165.0,0.141,-5.134,0.0434,574531280.0,124.939,0.298,102439463.0
0.0257,47830.0,0.628,169397.0,0.744,0.0,7.0,1198821.0,0.313,-4.718,0.0379,426759364.0,119.921,0.277,111974897.0
0.000735,10253.0,0.601,170134.0,0.92,0.0,5.0,294321.0,0.0998,-4.802,0.0505,90825980.0,88.014,0.537,20170299.0
0.00413,31427.0,0.653,202805.0,0.718,0.0,3.0,1923118.0,0.0537,-5.232,0.213,382579404.0,82.034,0.216,206242355.0
0.000417,30673.0,0.654,171621.0,0.875,0.0086,1.0,854345.0,0.194,-4.845,0.0744,254290993.0,99.975,0.522,68116200.0
