Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Listen Up! The Official 2010 FIFA World Cup Album,compilation,Shakira,shakiraVEVO,True,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),True
ELEVATION,album,Shakira,BlackEyedPeasVEVO,True,"Black Eyed Peas, Shakira, David Guetta - DON'T YOU WORRY (Official Music Video)",DON'T YOU WORRY,True
"Fijación Oral, Vol. 1",album,Shakira,shakiraVEVO,True,Shakira - Dia de Enero (Official HD Video),Dia de Enero,True
El Dorado,album,Shakira,shakiraVEVO,True,Shakira - Chantaje (Official Video) ft. Maluma,Chantaje (feat. Maluma),True
Donde Estan Los Ladrones,album,Shakira,shakiraVEVO,True,Shakira - Inevitable (Official HD Video),Inevitable,True
Pies Descalzos,album,Shakira,Café Con Telenovelas,False,Shakira - Antologia (Video Oficial),Antologia,False
Tickets To My Downfall,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly ft. blackbear - my ex's best friend (Official Music Video),my ex's best friend (with blackbear),True
Hotel Diablo,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly - I Think I'm OKAY [Official Music Video],I Think I'm OKAY (with YUNGBLUD & Travis Barker),True
mainstream sellout,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly - maybe feat. Bring Me The Horizon (Official Music Video),maybe (feat. Bring Me The Horizon),True
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",single,Machine Gun Kelly,Atlantic Records,True,"Machine Gun Kelly, X Ambassadors & Bebe Rexha - Home (from Bright: The Album) [Official Video]","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",True
Tickets To My Downfall,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly ft. Halsey - forget me too (Official Music Video),forget me too (feat. Halsey),True
Tickets To My Downfall,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly - Bloody Valentine [Official Video],bloody valentine,True
bloom,album,Machine Gun Kelly,MGKVEVO,True,"Machine Gun Kelly, Camila Cabello - Bad Things (Official Music Video)",Bad Things (with Camila Cabello),True
mainstream sellout,album,Machine Gun Kelly,MGKVEVO,True,"Machine Gun Kelly, blackbear - make up sex ft. blackbear (Official Music Video)",make up sex (feat. blackbear),True
F*CK LOVE 3+: OVER YOU,album,Machine Gun Kelly,Vibe Music,True,"The Kid LAROI - F*CK YOU, GOODBYE (Lyrics) (feat. Machine Gun Kelly)","F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",True
mainstream sellout,album,Machine Gun Kelly,MGKVEVO,True,Machine Gun Kelly & Lil Wayne - ay! (Official Music Video),ay! (feat. Lil Wayne),True
Intimo,album,Nicky Jam,NickyJamTV,True,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,X,True
Fénix,album,Nicky Jam,NickyJamTV,True,21. El Perdón - Nicky Jam y Enrique Iglesias  [Official Music Video YTMAs],El Perdón (with Enrique Iglesias),True
Golden,album,Nicky Jam,RomeoSantosVEVO,True,"Romeo Santos, Daddy Yankee, Nicky Jam - Bella y Sensual (Official Video)",Bella y Sensual,True
"Nicky Jam: Bzrp Music Sessions, Vol. 41",single,Nicky Jam,TV Rajuela Producciones,False,Nicky Jam - BZRP (Music Sessions #41),"Nicky Jam: Bzrp Music Sessions, Vol. 41",False
